user_id,favorite_genres,activity_level
1,Drama|Thriller,0.28
2,Documentary|Action,0.456
3,Thriller|Drama,0.322
4,Documentary,1.452
5,Drama,1.305
6,Thriller,0.184
7,Horror,0.526
8,Sci-Fi|Thriller,0.364
9,Animation|Horror,2.044
10,Animation|Fantasy,0.247
11,Sci-Fi,2.621
12,Sci-Fi,0.707
13,Action,0.287
14,Animation,0.423
15,Horror,0.383
16,Sci-Fi,0.262
17,Comedy,0.784
18,Documentary|Sci-Fi,0.272
19,Thriller,0.127
20,Comedy|Fantasy,0.536
21,Comedy|Documentary,0.172
22,Documentary,0.398
23,Comedy|Sci-Fi,0.351
24,Animation|Documentary,0.362
25,Sci-Fi,3.6
26,Horror,0.76
27,Animation|Documentary,0.884
28,Horror,0.175
29,Comedy,0.43
30,Documentary,0.863
31,Documentary|Action,0.32
32,Comedy|Animation,1.502
33,Action|Fantasy,0.278
34,Romance|Animation,0.578
35,Documentary,0.454
36,Sci-Fi,0.828
37,Romance,0.435
38,Thriller,0.585
39,Horror|Sci-Fi,0.601
40,Thriller,0.404
41,Documentary,1.071
42,Sci-Fi|Comedy,0.879
43,Sci-Fi|Comedy,0.677
44,Comedy,0.515
45,Thriller,1.374
46,Romance,0.601
47,Fantasy,0.568
48,Drama,0.79
49,Comedy,2.822
50,Animation,0.249
51,Documentary|Drama,1.345
52,Comedy,0.16
53,Comedy,0.864
54,Horror,2.561
55,Sci-Fi,1.074
56,Drama|Action,0.833
57,Sci-Fi,0.464
58,Fantasy|Thriller,0.745
59,Sci-Fi|Comedy,0.594
60,Drama,0.387
61,Drama|Animation,0.576
62,Documentary,0.851
63,Documentary,0.393
64,Fantasy,0.381
65,Fantasy|Action,0.245
66,Comedy,0.993
67,Romance,1.124
68,Horror,0.874
69,Comedy,1.572
70,Documentary|Thriller,0.779
71,Horror,0.994
72,Comedy,0.926
73,Drama,0.675
74,Comedy|Documentary,0.475
75,Horror,4.27
76,Animation,0.506
77,Drama,0.426
78,Romance|Sci-Fi,1.028
79,Animation|Comedy,0.888
80,Fantasy|Comedy,0.236
81,Documentary,1.783
82,Comedy|Drama,0.674
83,Documentary|Comedy,0.299
84,Sci-Fi|Comedy,1.88
85,Animation,1.198
86,Documentary,0.264
87,Documentary,3.01
88,Romance|Horror,1.23
89,Drama,0.72
90,Drama,2.592
91,Comedy,0.825
92,Fantasy,0.71
93,Documentary,0.428
94,Animation|Horror,1.157
95,Sci-Fi|Horror,1.063
96,Horror|Sci-Fi,0.735
97,Comedy,0.386
98,Comedy|Fantasy,0.806
99,Sci-Fi,0.687
100,Fantasy|Comedy,0.25
101,Horror,0.224
102,Comedy,1.142
103,Drama,0.091
104,Action,0.856
105,Comedy,0.495
106,Documentary,2.069
107,Romance,0.489
108,Thriller,1.231
109,Sci-Fi,0.529
110,Sci-Fi|Horror,0.796
111,Comedy,1.31
112,Fantasy,0.502
113,Documentary,1.612
114,Animation,0.328
115,Sci-Fi|Comedy,0.919
116,Documentary,1.52
117,Romance|Action,1.232
118,Romance,3.365
119,Animation,0.394
120,Thriller,0.241
121,Animation|Comedy,0.328
122,Documentary,1.232
123,Sci-Fi,1.082
124,Thriller,0.788
125,Action,0.296
126,Fantasy,1.341
127,Drama,0.273
128,Action,1.836
129,Sci-Fi|Comedy,7.144
130,Comedy|Thriller,0.974
131,Sci-Fi,1.158
132,Documentary,0.49
133,Romance,0.171
134,Animation|Sci-Fi,0.448
135,Thriller,0.303
136,Thriller|Sci-Fi,0.228
137,Fantasy|Romance,2.881
138,Comedy|Thriller,0.904
139,Documentary,0.984
140,Action|Sci-Fi,0.567
141,Documentary,0.633
142,Animation,1.571
143,Fantasy,0.708
144,Horror,1.111
145,Thriller|Drama,0.621
146,Fantasy|Romance,0.552
147,Animation,0.236
148,Sci-Fi|Horror,0.149
149,Animation,0.589
150,Sci-Fi,0.76
151,Documentary,0.26
152,Sci-Fi|Thriller,0.707
153,Romance,0.758
154,Sci-Fi,0.129
155,Sci-Fi,0.349
156,Comedy|Action,1.006
157,Thriller|Horror,0.99
158,Action|Romance,0.289
159,Comedy|Animation,0.825
160,Documentary|Drama,1.646
161,Thriller,1.352
162,Comedy,0.673
163,Drama|Comedy,0.5
164,Drama|Thriller,0.439
165,Documentary,1.056
166,Comedy,0.849
167,Horror|Animation,1.202
168,Fantasy,0.807
169,Thriller|Drama,1.398
170,Thriller,0.783
171,Romance,1.361
172,Fantasy|Sci-Fi,1.458
173,Thriller,0.382
174,Action,0.171
175,Sci-Fi,2.497
176,Documentary|Thriller,0.892
177,Sci-Fi,0.184
178,Fantasy,0.41
179,Documentary|Romance,1.347
180,Horror|Sci-Fi,0.581
181,Thriller,0.482
182,Romance,2.228
183,Drama,0.314
184,Documentary,0.384
185,Documentary,0.86
186,Documentary|Fantasy,0.993
187,Animation,1.08
188,Animation,1.506
189,Animation|Sci-Fi,0.851
190,Sci-Fi,1.074
191,Drama,0.59
192,Thriller|Drama,0.764
193,Drama|Horror,0.792
194,Sci-Fi|Comedy,0.863
195,Documentary,1.348
196,Documentary,1.132
197,Comedy|Action,0.753
198,Romance,0.38
199,Documentary,0.767
200,Documentary,0.71
201,Comedy|Animation,0.848
202,Comedy|Sci-Fi,4.244
203,Fantasy,0.478
204,Comedy|Sci-Fi,1.018
205,Thriller,1.708
206,Documentary,0.786
207,Fantasy|Action,4.714
208,Comedy,0.537
209,Animation,0.941
210,Drama,0.383
211,Documentary|Thriller,0.548
212,Comedy,0.886
213,Documentary|Comedy,1.429
214,Sci-Fi|Horror,0.938
215,Sci-Fi,1.989
216,Thriller|Fantasy,0.673
217,Fantasy,0.557
218,Horror,6.318
219,Comedy|Animation,0.996
220,Fantasy|Romance,0.408
221,Sci-Fi,0.417
222,Sci-Fi,0.342
223,Action|Thriller,1.537
224,Romance|Animation,0.543
225,Documentary|Romance,0.804
226,Romance,0.69
227,Animation,1.304
228,Documentary,0.369
229,Sci-Fi|Documentary,0.307
230,Comedy|Documentary,0.869
231,Comedy,1.175
232,Comedy,0.948
233,Horror,0.38
234,Action|Comedy,1.249
235,Sci-Fi|Animation,0.401
236,Action,0.479
237,Thriller,0.341
238,Documentary,2.057
239,Comedy,1.206
240,Comedy|Documentary,1.179
241,Documentary,1.97
242,Horror,6.892
243,Documentary|Action,0.185
244,Sci-Fi,0.402
245,Animation,0.444
246,Drama,0.368
247,Animation,0.307
